,image,caption,neg_image,objects
0,images/0000/0000000.png,a very typical bus station,images/0000/0000072.png,"[('bus', 0.9249533414840698), ('bus', 0.9168512225151062), ('person', 0.9123325347900391), ('bus', 0.8916858434677124), ('bus', 0.8783490061759949), ('person', 0.869663655757904), ('bus', 0.8549792170524597), ('bus', 0.8528011441230774), ('person', 0.848677396774292), ('person', 0.8372308015823364), ('person', 0.8282516598701477), ('bus', 0.8266876339912415), ('person', 0.7838085889816284), ('person', 0.7645657658576965), ('bus', 0.6910225749015808), ('bus', 0.6465078592300415), ('person', 0.6446511745452881), ('person', 0.5461503267288208), ('person', 0.45699626207351685), ('bus', 0.45222142338752747), ('bus', 0.431621253490448), ('bus', 0.4105302095413208), ('bus', 0.4072863757610321), ('bus', 0.38519197702407837), ('truck', 0.35265493392944336), ('person', 0.33852145075798035), ('person', 0.33666282892227173), ('person', 0.3112523555755615), ('car', 0.2565760910511017)]"
1,images/0000/0000001.png,sierra looked stunning in this top and this skirt while performing with person at their former university,images/0000/0000014.png,"[('person', 0.9356838464736938), ('person', 0.8803568482398987), ('person', 0.529818594455719), ('person', 0.3885112404823303), ('bicycle', 0.2891078591346741)]"
2,images/0000/0000002.png,young confused girl standing in front of a wardrobe,images/0000/0000042.png,"[('person', 0.9259958863258362), ('backpack', 0.4217553734779358), ('handbag', 0.34386980533599854), ('backpack', 0.33457353711128235), ('handbag', 0.31690746545791626), ('backpack', 0.2939590513706207), ('backpack', 0.27172884345054626), ('potted plant', 0.25210022926330566)]"
3,images/0000/0000003.png,interior design of modern living room with fireplace in a new house,,[]
4,images/0000/0000004.png,cybernetic scene isolated on white background .,images/0000/0000047.png,"[('person', 0.2727161943912506)]"
5,images/0000/0000005.png,gangsta rap artist attends sports team vs playoff game in the borough .,images/0000/0000096.png,"[('chair', 0.8061253428459167), ('person', 0.7095005512237549), ('bottle', 0.6850281953811646), ('bottle', 0.6242378354072571), ('cup', 0.5599302649497986), ('person', 0.5303617119789124), ('person', 0.4900238811969757), ('person', 0.4890395402908325), ('suitcase', 0.4468506872653961), ('bottle', 0.3669113218784332), ('suitcase', 0.28391358256340027)]"
6,images/0000/0000006.png,the jetty : different types of plants to establish a variety of ecosystems .,images/0000/0000001.png,"[('person', 0.7426761388778687), ('person', 0.7351555824279785), ('person', 0.6292683482170105), ('person', 0.5995054244995117), ('person', 0.5977857112884521), ('person', 0.5063484311103821), ('person', 0.36520078778266907), ('bicycle', 0.33936452865600586), ('person', 0.27432459592819214)]"
7,images/0000/0000007.png,traditional ornamental floral paisley bandanna .,,[]
8,images/0000/0000008.png,# of the sports team skates against sports team during their game .,images/0000/0000065.png,"[('person', 0.7528740167617798), ('person', 0.7082536220550537), ('person', 0.7027389407157898), ('chair', 0.6933786273002625), ('person', 0.6891067624092102), ('person', 0.6863921284675598), ('person', 0.5631754994392395), ('baseball bat', 0.5256165266036987), ('person', 0.5043114423751831), ('baseball glove', 0.40971362590789795), ('baseball glove', 0.2904075086116791), ('person', 0.276474267244339)]"
9,images/0000/0000009.png,a flight was traveling when the animal got free on tuesday night,images/0000/0000036.png,"[('airplane', 0.9007382392883301), ('truck', 0.6641938090324402), ('car', 0.6598214507102966), ('truck', 0.6289767622947693), ('car', 0.5508722066879272), ('car', 0.5120819807052612), ('truck', 0.46520113945007324), ('truck', 0.4143312871456146), ('car', 0.34799814224243164), ('car', 0.33671173453330994), ('car', 0.33313247561454773), ('car', 0.3169998526573181), ('car', 0.30114907026290894), ('truck', 0.27451232075691223), ('car', 0.2620651423931122), ('car', 0.2536890208721161)]"
10,images/0000/0000010.png,actor arrives for the premiere of the film,images/0000/0000099.png,"[('person', 0.5526567697525024)]"
11,images/0000/0000011.png,celebrities start decorating for the christmas season lifestyle,images/0000/0000083.png,"[('couch', 0.8616296052932739), ('person', 0.8466248512268066), ('person', 0.6972082257270813), ('person', 0.664322018623352), ('chair', 0.45586714148521423), ('person', 0.39508968591690063), ('chair', 0.3841265141963959)]"
12,images/0000/0000012.png,functions of government : 1 . form a more perfect union,,[]
13,images/0000/0000013.png,actor attends the premiere of season,images/0000/0000072.png,"[('person', 0.6532297730445862)]"
14,images/0000/0000014.png,all shots by by person and rider shots can be found on his website .,images/0000/0000001.png,"[('person', 0.855677604675293), ('person', 0.852276623249054), ('person', 0.8363914489746094), ('person', 0.7990487217903137), ('person', 0.7715715765953064), ('person', 0.759768545627594), ('bicycle', 0.7017172574996948), ('bicycle', 0.6835455298423767), ('person', 0.6487923264503479), ('bicycle', 0.6208393573760986), ('bicycle', 0.5773221254348755), ('bicycle', 0.5492032766342163), ('bicycle', 0.5462188720703125), ('bicycle', 0.5139598846435547), ('bicycle', 0.5009819269180298), ('person', 0.45744845271110535), ('bicycle', 0.45630156993865967), ('person', 0.423109769821167), ('person', 0.30941519141197205)]"
15,images/0000/0000015.png,high angle view of a businessman lying on a table and singing,images/0000/0000065.png,"[('laptop', 0.8527252078056335), ('person', 0.7183956503868103)]"
16,images/0000/0000016.png,this is real fast food !,,"[('orange', 0.8007069826126099), ('sandwich', 0.6243537664413452), ('orange', 0.5313935875892639)]"
17,images/0000/0000017.png,safe deposit with money around it on a white background photo,,[]
18,images/0000/0000018.png,dunes lay the blueprint for the back nine .,,[]
19,images/0000/0000019.png,portrait of a smiling woman stroking her dog lying on couch,images/0000/0000021.png,"[('dog', 0.6391364932060242), ('person', 0.5750691294670105), ('dog', 0.3206692039966583), ('bed', 0.26835253834724426)]"
20,images/0000/0000020.png,young business woman on a bench,images/0000/0000015.png,"[('person', 0.826108992099762), ('laptop', 0.5179613828659058)]"
21,images/0000/0000021.png,american football player looks downfield during the second half of a football game against sports team,images/0000/0000099.png,"[('person', 0.8646537661552429), ('person', 0.8639746904373169), ('person', 0.7601390480995178), ('person', 0.7218194603919983), ('sports ball', 0.6981518268585205), ('person', 0.5795959830284119), ('person', 0.44813284277915955), ('person', 0.29645293951034546), ('person', 0.2816697359085083), ('person', 0.26728489995002747)]"
22,images/0000/0000022.png,... and local people to deliver a new bridge,,[]
23,images/0000/0000023.png,actor arrives to the premiere,images/0000/0000075.png,"[('person', 0.7366674542427063), ('clock', 0.2692117989063263)]"
24,images/0000/0000024.png,"funny animals of the week , animal pictures",images/0000/0000086.png,"[('cat', 0.2815864682197571)]"
25,images/0000/0000025.png,the sign promises as much as the glorious blue sky .,,[]
26,images/0000/0000026.png,architectural details of a bridge,,[]
27,images/0000/0000027.png,people tour and enjoy the public park during summer,images/0000/0000066.png,"[('person', 0.8247726559638977), ('person', 0.7972264289855957), ('person', 0.7857670783996582), ('person', 0.7702826261520386), ('person', 0.7676966786384583), ('person', 0.7338075041770935), ('person', 0.7258471250534058), ('person', 0.7062466144561768), ('person', 0.6714085340499878), ('person', 0.6321815848350525), ('car', 0.5555751919746399), ('person', 0.5116548538208008), ('handbag', 0.511549174785614), ('person', 0.509016752243042), ('person', 0.49572598934173584), ('handbag', 0.49272191524505615), ('person', 0.42402809858322144), ('handbag', 0.4108918607234955), ('car', 0.40283650159835815), ('person', 0.40029552578926086), ('handbag', 0.2724488079547882)]"
28,images/0000/0000028.png,interesting 1930 's poster for a cosmetic company with stores .,images/0000/0000032.png,"[('person', 0.914907693862915), ('person', 0.8363704085350037), ('person', 0.6325319409370422), ('person', 0.6157407760620117), ('person', 0.58408123254776), ('tie', 0.5569583773612976), ('bottle', 0.4330340623855591), ('bottle', 0.29629188776016235)]"
29,images/0000/0000029.png,racecar driver steers his car during video game subject .,images/0000/0000058.png,"[('truck', 0.3918350338935852)]"
30,images/0000/0000030.png,vintage elegant floral card with frame decorated with black and white lilies on a pink background .,,[]
31,images/0000/0000031.png,heavy snow falls over a snow lined river .,,"[('teddy bear', 0.45363444089889526)]"
32,images/0000/0000032.png,pop artist attends the 3rd annual at guest house,images/0000/0000061.png,"[('person', 0.43999677896499634), ('tie', 0.2838376462459564)]"
33,images/0000/0000033.png,"illustration of a map , its flag and a comic balloon with a soccer ball in a not allowed signal",,[]
34,images/0000/0000034.png,rock artist performs on stage at awards held,images/0000/0000079.png,"[('chair', 0.41410788893699646), ('person', 0.35578081011772156)]"
35,images/0000/0000035.png,green sea turtle isolated on a white background 3d illustration,images/0000/0000098.png,"[('bird', 0.27358728647232056)]"
36,images/0000/0000036.png,"person , was surprised by the staff",images/0000/0000072.png,"[('person', 0.9427729249000549), ('cake', 0.8908505439758301), ('car', 0.7112354040145874), ('car', 0.44946548342704773)]"
37,images/0000/0000037.png,red and white flag on the mast,images/0000/0000054.png,"[('kite', 0.8498978018760681)]"
38,images/0000/0000038.png,football player celebrates scoring for football team against football team in the final,images/0000/0000021.png,"[('person', 0.8984752893447876), ('person', 0.7862772941589355), ('person', 0.774012565612793), ('person', 0.7636054754257202), ('person', 0.67709881067276), ('person', 0.6345644593238831), ('person', 0.6331022381782532), ('person', 0.40332677960395813), ('person', 0.38230660557746887)]"
39,images/0000/0000039.png,concept plug - in hybrid car on display,images/0000/0000099.png,"[('umbrella', 0.6039387583732605)]"
40,images/0000/0000040.png,a pencil drawing of a zebra and her baby .,,"[('zebra', 0.6083433628082275)]"
41,images/0000/0000041.png,airline -- reasons why person leads the way in experience,,[]
42,images/0000/0000042.png,ninety per cent of the units have balconies with views .,images/0000/0000050.png,"[('boat', 0.7641686797142029), ('boat', 0.63443523645401), ('potted plant', 0.524185061454773), ('bench', 0.46549418568611145), ('boat', 0.4447997212409973), ('bench', 0.3360726237297058), ('potted plant', 0.3205486238002777), ('boat', 0.3170730471611023), ('potted plant', 0.26238125562667847)]"
43,images/0000/0000043.png,a demonstration of a group of people practicing their rights,images/0000/0000072.png,"[('person', 0.8942083716392517), ('person', 0.8680862188339233), ('person', 0.8168112635612488), ('person', 0.7252275347709656), ('person', 0.608311653137207), ('person', 0.520182728767395)]"
44,images/0000/0000044.png,actor and daughters uk premiere held,images/0000/0000032.png,"[('person', 0.9134529829025269), ('person', 0.8978220224380493), ('tie', 0.8521331548690796), ('person', 0.8229775428771973), ('person', 0.7967790365219116), ('person', 0.6116878390312195), ('person', 0.4750252962112427), ('person', 0.44380101561546326), ('person', 0.40460172295570374), ('person', 0.3484070301055908), ('person', 0.3110579550266266)]"
45,images/0000/0000045.png,"a fine , grainy vector pattern in black and white .",,[]
46,images/0000/0000046.png,"seamless border of orange roses and paisley , pattern on a white background .",,[]
47,images/0000/0000047.png,students in front of a school,images/0000/0000021.png,"[('person', 0.781114935874939), ('person', 0.7600142955780029), ('person', 0.6546032428741455), ('person', 0.563289225101471), ('person', 0.49125364422798157), ('person', 0.4858139157295227), ('person', 0.37850457429885864), ('person', 0.3489443063735962), ('person', 0.3339603543281555), ('person', 0.28801897168159485)]"
48,images/0000/0000048.png,river as it meets bodies of water where airline meets,images/0000/0000089.png,"[('boat', 0.3095186650753021)]"
49,images/0000/0000049.png,young rock star jamming on a guitar,images/0000/0000001.png,"[('person', 0.836146891117096)]"
50,images/0000/0000050.png,a moored fishing boat viewed from island .,images/0000/0000080.png,"[('boat', 0.6719238758087158)]"
51,images/0000/0000051.png,vector illustration of person isolated on a white background,images/0000/0000064.png,"[('vase', 0.27124086022377014)]"
52,images/0000/0000052.png,emergency services were called after a car smashed through a set of traffic lights,images/0000/0000036.png,"[('car', 0.8807215094566345), ('car', 0.7574169635772705), ('car', 0.6029143929481506), ('car', 0.4764251708984375), ('car', 0.3715735375881195), ('traffic light', 0.3469039797782898), ('car', 0.33493319153785706)]"
53,images/0000/0000053.png,sheep with a black face fenced in on a winter day,,"[('sheep', 0.9395342469215393), ('sheep', 0.4601901173591614), ('sheep', 0.3157385289669037)]"
54,images/0000/0000054.png,a small park with flags and a yellow banner around a tree in support of troops,,"[('kite', 0.3527494966983795)]"
55,images/0000/0000055.png,isolated water glass on a white background,images/0000/0000085.png,"[('cup', 0.587583601474762), ('cup', 0.30012595653533936)]"
56,images/0000/0000056.png,"when choosing your new outdoor color palette , opt for something that will enhance your home 's architectural style and give you plenty of curb appeal .",images/0000/0000076.png,"[('clock', 0.7019528150558472)]"
57,images/0000/0000057.png,person at a corporate event,images/0000/0000028.png,"[('chair', 0.8915891647338867), ('chair', 0.8370301723480225), ('chair', 0.8247633576393127), ('dining table', 0.8016652464866638), ('chair', 0.784883439540863), ('chair', 0.7126629948616028), ('chair', 0.6907501816749573), ('chair', 0.6639442443847656), ('bottle', 0.6589304804801941), ('chair', 0.6547694206237793), ('person', 0.5855233669281006), ('tv', 0.5473517179489136), ('person', 0.534267008304596), ('dining table', 0.5128909945487976), ('chair', 0.5024020671844482), ('person', 0.49732112884521484), ('bottle', 0.41695845127105713), ('person', 0.401480108499527), ('person', 0.3987792134284973), ('dining table', 0.3753456175327301), ('chair', 0.3613179624080658), ('bottle', 0.3478095531463623), ('person', 0.3426494598388672), ('dining table', 0.34029343724250793), ('dining table', 0.3270025849342346), ('chair', 0.2894076704978943), ('cup', 0.2723167836666107), ('chair', 0.2643272876739502)]"
58,images/0000/0000058.png,bulldozer on a building site,images/0000/0000000.png,"[('truck', 0.7978087663650513)]"
59,images/0000/0000059.png,person finishes at the top,images/0000/0000023.png,"[('person', 0.9401240944862366), ('person', 0.934977114200592), ('person', 0.9326466917991638), ('person', 0.9304670691490173), ('person', 0.9100925326347351), ('person', 0.7006357908248901), ('person', 0.38963639736175537)]"
60,images/0000/0000060.png,country shape animated on the satellite map of the globe,images/0000/0000087.png,"[('bowl', 0.44313132762908936)]"
61,images/0000/0000061.png,paths are clearly marked with signs like this .,images/0000/0000011.png,"[('person', 0.8165557384490967), ('person', 0.7717527151107788)]"
62,images/0000/0000062.png,putts for birdie on the second hole during the final round of the golf tournament .,images/0000/0000020.png,"[('person', 0.8603531122207642)]"
63,images/0000/0000063.png,person shot from a cliff looking out at the lake and horizon .,,[]
64,images/0000/0000064.png,sending this angel your way ... it lights the way with it 's tiny candle .,images/0000/0000076.png,"[('vase', 0.32125020027160645)]"
65,images/0000/0000065.png,i love the colours of her clothes .,images/0000/0000027.png,"[('person', 0.8136199116706848), ('handbag', 0.2598165273666382)]"
66,images/0000/0000066.png,ask owner for photos of the car,images/0000/0000074.png,"[('car', 0.590066134929657)]"
67,images/0000/0000067.png,the state of the world 's forests,,[]
68,images/0000/0000068.png,"farm tractor is moving on the field , cultivating land",,[]
69,images/0000/0000069.png,master playing with his little golden retriever dog on the lawn,images/0000/0000073.png,"[('dog', 0.9079538583755493), ('person', 0.8286766409873962)]"
70,images/0000/0000070.png,year later the small shrubs doubled in size .,,[]
71,images/0000/0000071.png,"according to the model , she regularly gets told it looks",,[]
72,images/0000/0000072.png,person and the fiancee at their engagement party .,images/0000/0000002.png,"[('person', 0.7119011282920837), ('person', 0.6485960483551025), ('donut', 0.4907523989677429), ('cake', 0.3514505922794342), ('donut', 0.331394225358963), ('chair', 0.2538948953151703), ('person', 0.25301647186279297)]"
73,images/0000/0000073.png,good night id been working like a dog i should be sleeping like a log,images/0000/0000019.png,"[('dog', 0.5043615698814392)]"
74,images/0000/0000074.png,the water was never deeper than your chest .,images/0000/0000009.png,"[('person', 0.7410963177680969), ('person', 0.7099034786224365), ('car', 0.6553967595100403), ('person', 0.5974376797676086), ('boat', 0.4373179078102112), ('person', 0.43047094345092773), ('person', 0.4045078158378601), ('person', 0.4019385576248169), ('boat', 0.37804439663887024), ('boat', 0.36581939458847046), ('person', 0.361636757850647), ('car', 0.35742440819740295), ('boat', 0.3508499562740326), ('person', 0.3250866234302521), ('person', 0.3227420449256897), ('boat', 0.3200977146625519), ('person', 0.3081253170967102), ('boat', 0.2905175983905792), ('person', 0.27817705273628235), ('boat', 0.2773120105266571), ('person', 0.2766518294811249), ('person', 0.27577638626098633), ('person', 0.2722416818141937), ('person', 0.25259438157081604)]"
75,images/0000/0000075.png,twilight over italian gothic structure and the medieval town,images/0000/0000020.png,"[('chair', 0.7402726411819458), ('person', 0.6467210650444031), ('person', 0.500163197517395), ('chair', 0.4464530348777771), ('bench', 0.4162995517253876), ('clock', 0.31602662801742554), ('chair', 0.29840004444122314), ('chair', 0.29392606019973755), ('chair', 0.272451251745224), ('clock', 0.2616020143032074)]"
76,images/0000/0000076.png,"simple custom leather pulls for your dresser , cabinets , or doors .",,"[('vase', 0.43259790539741516), ('vase', 0.31978169083595276), ('clock', 0.29301321506500244)]"
77,images/0000/0000077.png,sunny woodland morning along river .,,[]
78,images/0000/0000078.png,"person , why u turn me on with your designs ? i believe i will bepinning some more of his work here in a bit .",,[]
79,images/0000/0000079.png,pop artist performs on stage .,images/0000/0000002.png,"[('person', 0.7354828119277954), ('person', 0.7279884815216064)]"
80,images/0000/0000080.png,industrial plants in the distance at night,images/0000/0000042.png,"[('boat', 0.5428231358528137)]"
81,images/0000/0000081.png,building and skyscraper light up at night,,[]
82,images/0000/0000082.png,actor is an actor who started out as a lawyer .,images/0000/0000000.png,"[('person', 0.6281001567840576)]"
83,images/0000/0000083.png,color good with green couch in living room ... favorite ... i think maybe a little too peach ?,images/0000/0000011.png,"[('couch', 0.8456904292106628), ('book', 0.3347480893135071)]"
84,images/0000/0000084.png,tree branches swing at real time with the wind while clouds move fast in time lapse,,[]
85,images/0000/0000085.png,my coffee of the day !,images/0000/0000057.png,"[('cup', 0.9099057912826538), ('chair', 0.7704758644104004), ('spoon', 0.6358288526535034), ('cake', 0.596851646900177), ('fork', 0.4605386555194855)]"
86,images/0000/0000086.png,mirror image : lonely kitten seeks comfort in the form of a cuddly cat,,"[('cat', 0.2500225305557251)]"
87,images/0000/0000087.png,"this trick really is the best way to cut corn off the cob , because it saves making a big mess on the counter and floor .",images/0000/0000057.png,"[('chair', 0.9011107087135315), ('person', 0.8793809413909912), ('bowl', 0.572799563407898), ('dining table', 0.32351070642471313), ('hot dog', 0.2897762656211853)]"
88,images/0000/0000088.png,portrait of young mother and little child brushing their teeth together while standing in the bathroom,images/0000/0000001.png,"[('person', 0.6107012629508972), ('toothbrush', 0.6063265800476074), ('cell phone', 0.4092262387275696), ('sink', 0.36477914452552795)]"
89,images/0000/0000089.png,the harbor a small village,images/0000/0000074.png,"[('boat', 0.5021892786026001), ('boat', 0.48287343978881836), ('boat', 0.46649014949798584), ('person', 0.4496890902519226), ('boat', 0.40822097659111023), ('boat', 0.3210715055465698), ('boat', 0.3150925934314728), ('boat', 0.2769332826137543)]"
90,images/0000/0000090.png,a traffic sign warns of surfers crossing !,,[]
91,images/0000/0000091.png,greeting card with bright blue text and abstract christmas tree on a white background vector art illustration,,[]
92,images/0000/0000092.png,such pretty watercolor flowers and can be in any languages,,[]
93,images/0000/0000093.png,newspaper became a free newspaper,images/0000/0000083.png,"[('book', 0.5957669615745544), ('book', 0.353273868560791)]"
94,images/0000/0000094.png,ancient open prairie of west on a cold morning beds and grasses cover much of the area,,[]
95,images/0000/0000095.png,forest on a sunny day,,[]
96,images/0000/0000096.png,happy senior couple with dog on a hike in summer in the nature,images/0000/0000021.png,"[('person', 0.9187036156654358), ('person', 0.9121068120002747), ('dog', 0.8417197465896606), ('backpack', 0.6363697052001953), ('backpack', 0.5789902210235596)]"
97,images/0000/0000097.png,illustrator who has a rather simply haunting style .,images/0000/0000005.png,"[('suitcase', 0.6806241273880005)]"
98,images/0000/0000098.png,"birds fly up to the feeder and take seeds , snow on trees , falling snowflakes for the birdhouse",,"[('bird', 0.7197723984718323)]"
99,images/0000/0000099.png,"hands in \ walking through his old elementary hallways , person is congratulated by current students .",images/0000/0000023.png,"[('person', 0.8412187695503235), ('person', 0.7743620276451111), ('person', 0.6882708668708801), ('person', 0.5759011507034302), ('person', 0.5384742021560669), ('person', 0.5220419764518738), ('person', 0.5122506022453308), ('umbrella', 0.3769340515136719), ('person', 0.3588581383228302), ('person', 0.3492282032966614), ('person', 0.2945874035358429)]"
